country,indicator,value,scale
Mali,GDP (current US$),0.019143741503148202,trillion
Malta,GDP (current US$),0.017189730469555402,trillion
Myanmar,GDP (current US$),0.0650678089846792,trillion
Montenegro,GDP (current US$),0.00580917096178285,trillion
Mongolia,GDP (current US$),0.0150980228286106,trillion
Northern Mariana Islands,GDP (current US$),,trillion
Mozambique,GDP (current US$),0.0160958288966342,trillion
Mauritania,GDP (current US$),0.00822758074049889,trillion
Mauritius,GDP (current US$),0.0111566577696974,trillion
Malawi,GDP (current US$),0.0126267180737439,trillion
Malaysia,GDP (current US$),0.37270135882026395,trillion
Namibia,GDP (current US$),0.0122362507841336,trillion
New Caledonia,GDP (current US$),,trillion
Niger,GDP (current US$),0.0149509498752729,trillion
Nigeria,GDP (current US$),0.440776971536015,trillion
Nicaragua,GDP (current US$),0.0140130220920645,trillion
Netherlands,GDP (current US$),1.0180070569496,trillion
Norway,GDP (current US$),0.482437019790454,trillion
Nepal,GDP (current US$),0.0362888303734106,trillion
Nauru,GDP (current US$),0.000133218896932607,trillion
New Zealand,GDP (current US$),0.249991512236526,trillion
Oman,GDP (current US$),0.0858686265279584,trillion
Pakistan,GDP (current US$),0.346343170486072,trillion
Panama,GDP (current US$),0.0636050658,trillion
Peru,GDP (current US$),0.223249497500387,trillion
Philippines,GDP (current US$),0.39408641934305605,trillion
Palau,GDP (current US$),,trillion
Papua New Guinea,GDP (current US$),0.026594277245782002,trillion
Poland,GDP (current US$),0.674048266397369,trillion
Puerto Rico,GDP (current US$),,trillion
"Korea, Dem. People's Rep.",GDP (current US$),,trillion
Portugal,GDP (current US$),0.249886464354752,trillion
Paraguay,GDP (current US$),0.0389868109890011,trillion
French Polynesia,GDP (current US$),,trillion
Qatar,GDP (current US$),0.179570783550549,trillion
Romania,GDP (current US$),0.28408756369579796,trillion
Russian Federation,GDP (current US$),1.7757999193529799,trillion
Rwanda,GDP (current US$),0.0110703565194804,trillion
Saudi Arabia,GDP (current US$),0.8335412365693149,trillion
Sudan,GDP (current US$),0.0343260585574359,trillion
Senegal,GDP (current US$),0.027625388352168802,trillion
Singapore,GDP (current US$),0.396986899888351,trillion
Solomon Islands,GDP (current US$),0.00164521388162016,trillion
Sierra Leone,GDP (current US$),0.0042003801243291105,trillion
El Salvador,GDP (current US$),0.02873694,trillion
San Marino,GDP (current US$),,trillion
Somalia,GDP (current US$),0.007292721820000009,trillion
Serbia,GDP (current US$),0.0630681346011254,trillion
South Sudan,GDP (current US$),,trillion
Sao Tome and Principe,GDP (current US$),0.000547092915036334,trillion
Suriname,GDP (current US$),0.0028621319796954298,trillion
Slovak Republic,GDP (current US$),0.11487070641016499,trillion
Slovenia,GDP (current US$),0.061526331889499,trillion
Sweden,GDP (current US$),0.6274378988872901,trillion
Eswatini,GDP (current US$),0.00494137318208261,trillion
Sint Maarten (Dutch part),GDP (current US$),,trillion
Seychelles,GDP (current US$),0.0013200537930390301,trillion
Syrian Arab Republic,GDP (current US$),,trillion
Turks and Caicos Islands,GDP (current US$),0.000943269768,trillion
Chad,GDP (current US$),0.0117799808017843,trillion
Togo,GDP (current US$),0.0084132005676151,trillion
Thailand,GDP (current US$),0.505981655622305,trillion
Tajikistan,GDP (current US$),0.00874627063640142,trillion
Turkmenistan,GDP (current US$),,trillion
Timor-Leste,GDP (current US$),0.0019591347438354103,trillion
Tonga,GDP (current US$),,trillion
Trinidad and Tobago,GDP (current US$),0.021391802311011798,trillion
Tunisia,GDP (current US$),0.0468400429414922,trillion
Turkiye,GDP (current US$),0.815271751724423,trillion
Tuvalu,GDP (current US$),6.31009615384615e-05,trillion
Tanzania,GDP (current US$),0.0677751017943478,trillion
Uganda,GDP (current US$),0.040434701516952797,trillion
Ukraine,GDP (current US$),0.200085537744354,trillion
Uruguay,GDP (current US$),0.0593195476360876,trillion
United States,GDP (current US$),22.9961,trillion
Uzbekistan,GDP (current US$),0.0692389031061738,trillion
St. Vincent and the Grenadines,GDP (current US$),0.0008897752433783521,trillion
"Venezuela, RB",GDP (current US$),,trillion
British Virgin Islands,GDP (current US$),,trillion
Virgin Islands (U.S.),GDP (current US$),,trillion
Vietnam,GDP (current US$),0.362637524070969,trillion
Vanuatu,GDP (current US$),0.000983469256849629,trillion
Samoa,GDP (current US$),0.0007883899716030651,trillion
Kosovo,GDP (current US$),0.009007159195742161,trillion
"Yemen, Rep.",GDP (current US$),0.0210616916295369,trillion
South Africa,GDP (current US$),0.419946428126008,trillion
Zambia,GDP (current US$),0.0212030590803507,trillion
Zimbabwe,GDP (current US$),0.0262177267173386,trillion
