country,indicator,value,scale
Aruba,GDP (current US$),0.00331005586592179,trillion
Afghanistan,GDP (current US$),0.0187994507427823,trillion
Angola,GDP (current US$),0.0693091048066311,trillion
Albania,GDP (current US$),0.015401830754077299,trillion
Andorra,GDP (current US$),0.00315514934780639,trillion
United Arab Emirates,GDP (current US$),0.41721555951336403,trillion
Argentina,GDP (current US$),0.452818426182658,trillion
Armenia,GDP (current US$),0.013619291361281401,trillion
American Samoa,GDP (current US$),0.000648,trillion
Antigua and Barbuda,GDP (current US$),0.0016875333333333299,trillion
Australia,GDP (current US$),1.39195251037048,trillion
Austria,GDP (current US$),0.44501187270446996,trillion
Azerbaijan,GDP (current US$),0.0481742352941176,trillion
Burundi,GDP (current US$),0.0025812681257891697,trillion
Belgium,GDP (current US$),0.535376258146666,trillion
Benin,GDP (current US$),0.0143916866327821,trillion
Burkina Faso,GDP (current US$),0.0161781620300694,trillion
Bangladesh,GDP (current US$),0.351238438542792,trillion
Bulgaria,GDP (current US$),0.06891541614195759,trillion
Bahrain,GDP (current US$),0.0386533180851064,trillion
"Bahamas, The",GDP (current US$),0.0131928,trillion
Bosnia and Herzegovina,GDP (current US$),0.020201323282545102,trillion
Belarus,GDP (current US$),0.0644096471938044,trillion
Belize,GDP (current US$),0.00194525023557603,trillion
Bermuda,GDP (current US$),0.007423465,trillion
Bolivia,GDP (current US$),0.0408953228509407,trillion
Brazil,GDP (current US$),1.87328815897723,trillion
Barbados,GDP (current US$),0.0053041643232531995,trillion
Brunei Darussalam,GDP (current US$),0.0134694229585105,trillion
Bhutan,GDP (current US$),0.0025356570690553697,trillion
Botswana,GDP (current US$),0.0166959250271944,trillion
Central African Republic,GDP (current US$),0.0022213014007246797,trillion
Canada,GDP (current US$),1.74201504548231,trillion
Switzerland,GDP (current US$),0.731767398052879,trillion
Chile,GDP (current US$),0.27858473310301,trillion
China,GDP (current US$),14.279937500608,trillion
Cote d'Ivoire,GDP (current US$),0.0585394249297248,trillion
Cameroon,GDP (current US$),0.0396709773327348,trillion
"Congo, Dem. Rep.",GDP (current US$),0.051775830725826304,trillion
"Congo, Rep.",GDP (current US$),0.0127503387361661,trillion
Colombia,GDP (current US$),0.32310954332432096,trillion
Comoros,GDP (current US$),0.0011950195590938102,trillion
Cabo Verde,GDP (current US$),0.00198184574070615,trillion
Costa Rica,GDP (current US$),0.0644176700826127,trillion
Cuba,GDP (current US$),0.103428,trillion
Curacao,GDP (current US$),0.0029951854873026098,trillion
Cayman Islands,GDP (current US$),0.00594358909555075,trillion
Cyprus,GDP (current US$),0.0257583577745438,trillion
Czechia,GDP (current US$),0.252498032247163,trillion
Germany,GDP (current US$),3.88832678862744,trillion
Djibouti,GDP (current US$),0.0030888536385683197,trillion
Dominica,GDP (current US$),0.0006115370370370371,trillion
Denmark,GDP (current US$),0.34756134921097903,trillion
Dominican Republic,GDP (current US$),0.0889412997335018,trillion
Algeria,GDP (current US$),0.17176740374819,trillion
Ecuador,GDP (current US$),0.108108009,trillion
"Egypt, Arab Rep.",GDP (current US$),0.303080865603645,trillion
Eritrea,GDP (current US$),,trillion
Spain,GDP (current US$),1.39304609313725,trillion
Estonia,GDP (current US$),0.0310455917534901,trillion
Ethiopia,GDP (current US$),0.09591259062814121,trillion
Finland,GDP (current US$),0.26850820012549,trillion
Fiji,GDP (current US$),0.0054962647657841104,trillion
France,GDP (current US$),2.72887024670588,trillion
Faroe Islands,GDP (current US$),0.00326883977569197,trillion
"Micronesia, Fed. Sts.",GDP (current US$),0.00041247941336212897,trillion
Gabon,GDP (current US$),0.016874405839794798,trillion
United Kingdom,GDP (current US$),2.87867391241444,trillion
Georgia,GDP (current US$),0.0174704362585131,trillion
Ghana,GDP (current US$),0.0683375378157703,trillion
Guinea,GDP (current US$),0.013442861443750601,trillion
"Gambia, The",GDP (current US$),0.00181360827965044,trillion
Guinea-Bissau,GDP (current US$),0.00143963844338133,trillion
Equatorial Guinea,GDP (current US$),0.0113641341086175,trillion
Greece,GDP (current US$),0.205144152830847,trillion
Grenada,GDP (current US$),0.00121348518518519,trillion
Greenland,GDP (current US$),0.00299433232374726,trillion
Guatemala,GDP (current US$),0.0770200152013201,trillion
Guam,GDP (current US$),0.006364,trillion
Guyana,GDP (current US$),0.005173760191846521,trillion
Honduras,GDP (current US$),0.0250899769467736,trillion
Croatia,GDP (current US$),0.062246206340546895,trillion
Haiti,GDP (current US$),0.0147858393829002,trillion
Hungary,GDP (current US$),0.16352649143329,trillion
Indonesia,GDP (current US$),1.11909986826525,trillion
Isle of Man,GDP (current US$),0.00731538805208067,trillion
India,GDP (current US$),2.8315522225199903,trillion
Ireland,GDP (current US$),0.39912206350414803,trillion
"Iran, Islamic Rep.",GDP (current US$),0.291362916336415,trillion
Iraq,GDP (current US$),0.233636097800338,trillion
Iceland,GDP (current US$),0.0248577404450401,trillion
Italy,GDP (current US$),2.01128574255215,trillion
Jamaica,GDP (current US$),0.0158307685498916,trillion
Jordan,GDP (current US$),0.044502895915492995,trillion
Japan,GDP (current US$),5.12331815151062,trillion
Kazakhstan,GDP (current US$),0.181667190075541,trillion
Kenya,GDP (current US$),0.100379713697421,trillion
Kyrgyz Republic,GDP (current US$),0.008871026074197621,trillion
Cambodia,GDP (current US$),0.027089389786979,trillion
Kiribati,GDP (current US$),0.000177935349322211,trillion
St. Kitts and Nevis,GDP (current US$),0.00116487785185185,trillion
"Korea, Rep.",GDP (current US$),1.65142293244777,trillion
Kuwait,GDP (current US$),0.13619676018097598,trillion
Lao PDR,GDP (current US$),0.018740559554163202,trillion
Lebanon,GDP (current US$),0.0516059591313385,trillion
Liberia,GDP (current US$),0.0033195965,trillion
Libya,GDP (current US$),0.06925230637202319,trillion
St. Lucia,GDP (current US$),0.0021187915481481498,trillion
Liechtenstein,GDP (current US$),0.006427248943449391,trillion
Sri Lanka,GDP (current US$),0.0839025744428014,trillion
Lesotho,GDP (current US$),0.00245125757869383,trillion
Lithuania,GDP (current US$),0.0546973790173332,trillion
Luxembourg,GDP (current US$),0.0701957154955136,trillion
Latvia,GDP (current US$),0.0343087838253019,trillion
St. Martin (French part),GDP (current US$),,trillion
Morocco,GDP (current US$),0.119870439113662,trillion
Monaco,GDP (current US$),0.00738374566215157,trillion
Moldova,GDP (current US$),0.0119713450027757,trillion
Madagascar,GDP (current US$),0.014191911512046499,trillion
Maldives,GDP (current US$),0.0056077626251462695,trillion
Mexico,GDP (current US$),1.2694042767707,trillion
Marshall Islands,GDP (current US$),0.0002394622,trillion
North Macedonia,GDP (current US$),0.012606338448547002,trillion
Mali,GDP (current US$),0.0172802508052245,trillion
Malta,GDP (current US$),0.0157195009205362,trillion
Myanmar,GDP (current US$),0.068697759361231,trillion
Montenegro,GDP (current US$),0.0055422011509104795,trillion
Mongolia,GDP (current US$),0.0142063590068095,trillion
Northern Mariana Islands,GDP (current US$),0.001182,trillion
Mozambique,GDP (current US$),0.015390031039995701,trillion
Mauritania,GDP (current US$),0.00788965528447161,trillion
Mauritius,GDP (current US$),0.014045808843221,trillion
Malawi,GDP (current US$),0.011025370768813499,trillion
Malaysia,GDP (current US$),0.36527637948099,trillion
Namibia,GDP (current US$),0.0125432034106928,trillion
New Caledonia,GDP (current US$),0.00943813098737298,trillion
Niger,GDP (current US$),0.012916455161108101,trillion
Nigeria,GDP (current US$),0.44812042885876896,trillion
Nicaragua,GDP (current US$),0.0125966360422321,trillion
Netherlands,GDP (current US$),0.9101943475686259,trillion
Norway,GDP (current US$),0.404941363636364,trillion
Nepal,GDP (current US$),0.0341861909959565,trillion
Nauru,GDP (current US$),0.000118724073809183,trillion
New Zealand,GDP (current US$),0.21343457135798402,trillion
Oman,GDP (current US$),0.0880608582574772,trillion
Pakistan,GDP (current US$),0.320909489229723,trillion
Panama,GDP (current US$),0.0669844272,trillion
Peru,GDP (current US$),0.228323495040901,trillion
Philippines,GDP (current US$),0.37682327856119596,trillion
Palau,GDP (current US$),0.0002742,trillion
Papua New Guinea,GDP (current US$),0.0247513445608856,trillion
Poland,GDP (current US$),0.597280564671563,trillion
Puerto Rico,GDP (current US$),0.1049146,trillion
"Korea, Dem. People's Rep.",GDP (current US$),,trillion
Portugal,GDP (current US$),0.239986922638902,trillion
Paraguay,GDP (current US$),0.037925338329156,trillion
French Polynesia,GDP (current US$),0.00600805524777908,trillion
Qatar,GDP (current US$),0.175837550996185,trillion
Romania,GDP (current US$),0.249881592298072,trillion
Russian Federation,GDP (current US$),1.69311390426289,trillion
Rwanda,GDP (current US$),0.0103563271494262,trillion
Saudi Arabia,GDP (current US$),0.803616264791024,trillion
Sudan,GDP (current US$),0.0323380791652893,trillion
Senegal,GDP (current US$),0.023398811423577998,trillion
Singapore,GDP (current US$),0.375472731271075,trillion
Solomon Islands,GDP (current US$),0.0015700932292558802,trillion
Sierra Leone,GDP (current US$),0.00407657854256207,trillion
El Salvador,GDP (current US$),0.02689666,trillion
San Marino,GDP (current US$),0.0016162316960486,trillion
Somalia,GDP (current US$),0.006476674591874719,trillion
Serbia,GDP (current US$),0.0515142223818428,trillion
South Sudan,GDP (current US$),,trillion
Sao Tome and Principe,GDP (current US$),0.000427425039684339,trillion
Suriname,GDP (current US$),0.00398448376237123,trillion
Slovak Republic,GDP (current US$),0.105284375640698,trillion
Slovenia,GDP (current US$),0.0541788776059999,trillion
Sweden,GDP (current US$),0.5338795291884539,trillion
Eswatini,GDP (current US$),0.00446606655737957,trillion
Sint Maarten (Dutch part),GDP (current US$),,trillion
Seychelles,GDP (current US$),0.00168422852867297,trillion
Syrian Arab Republic,GDP (current US$),,trillion
Turks and Caicos Islands,GDP (current US$),0.001197415,trillion
Chad,GDP (current US$),0.0113149513427807,trillion
Togo,GDP (current US$),0.0072203952477424005,trillion
Thailand,GDP (current US$),0.544081056184697,trillion
Tajikistan,GDP (current US$),0.00830078485687904,trillion
Turkmenistan,GDP (current US$),0.045231428571428596,trillion
Timor-Leste,GDP (current US$),0.0020479317,trillion
Tonga,GDP (current US$),0.000512350059421629,trillion
Trinidad and Tobago,GDP (current US$),0.0238862164033455,trillion
Tunisia,GDP (current US$),0.0417729007633588,trillion
Turkiye,GDP (current US$),0.7610044256054139,trillion
Tuvalu,GDP (current US$),5.42231491136601e-05,trillion
Tanzania,GDP (current US$),0.0611368736923985,trillion
Uganda,GDP (current US$),0.0353530606342022,trillion
Ukraine,GDP (current US$),0.153882982016281,trillion
Uruguay,GDP (current US$),0.0612311498805857,trillion
United States,GDP (current US$),21.372572437,trillion
Uzbekistan,GDP (current US$),0.0599076740274676,trillion
St. Vincent and the Grenadines,GDP (current US$),0.000910149698909411,trillion
"Venezuela, RB",GDP (current US$),,trillion
British Virgin Islands,GDP (current US$),,trillion
Virgin Islands (U.S.),GDP (current US$),0.004117,trillion
Vietnam,GDP (current US$),0.330391329475734,trillion
Vanuatu,GDP (current US$),0.000936526267622513,trillion
Samoa,GDP (current US$),0.0008520071046600459,trillion
Kosovo,GDP (current US$),0.00789987908643081,trillion
"Yemen, Rep.",GDP (current US$),0.021887614217174597,trillion
South Africa,GDP (current US$),0.38793457409817,trillion
Zambia,GDP (current US$),0.0233086677812258,trillion
Zimbabwe,GDP (current US$),0.0192842897390517,trillion
