country,indicator,value,scale,year,region
Greece,"Life expectancy at birth, total (years)",81.0878048780488,years,2020,Europe & Central Asia
Grenada,"Life expectancy at birth, total (years)",72.426,years,2020,Latin America & Caribbean 
Greenland,"Life expectancy at birth, total (years)",71.4046341463415,years,2020,Europe & Central Asia
Guatemala,"Life expectancy at birth, total (years)",74.529,years,2020,Latin America & Caribbean 
Guam,"Life expectancy at birth, total (years)",80.277,years,2020,East Asia & Pacific
Guyana,"Life expectancy at birth, total (years)",70.023,years,2020,Latin America & Caribbean 
Honduras,"Life expectancy at birth, total (years)",75.448,years,2020,Latin America & Caribbean 
Croatia,"Life expectancy at birth, total (years)",77.7243902439024,years,2020,Europe & Central Asia
Haiti,"Life expectancy at birth, total (years)",64.315,years,2020,Latin America & Caribbean 
Hungary,"Life expectancy at birth, total (years)",75.6170731707317,years,2020,Europe & Central Asia
Indonesia,"Life expectancy at birth, total (years)",71.908,years,2020,East Asia & Pacific
Isle of Man,"Life expectancy at birth, total (years)",,years,2020,Europe & Central Asia
India,"Life expectancy at birth, total (years)",69.887,years,2020,South Asia
Ireland,"Life expectancy at birth, total (years)",82.2048780487805,years,2020,Europe & Central Asia
"Iran, Islamic Rep.","Life expectancy at birth, total (years)",76.87,years,2020,Middle East & North Africa
Iraq,"Life expectancy at birth, total (years)",70.748,years,2020,Middle East & North Africa
Iceland,"Life expectancy at birth, total (years)",83.0658536585366,years,2020,Europe & Central Asia
Italy,"Life expectancy at birth, total (years)",82.3439024390244,years,2020,Europe & Central Asia
Jamaica,"Life expectancy at birth, total (years)",74.586,years,2020,Latin America & Caribbean 
Jordan,"Life expectancy at birth, total (years)",74.655,years,2020,Middle East & North Africa
Japan,"Life expectancy at birth, total (years)",84.6156097560976,years,2020,East Asia & Pacific
Kazakhstan,"Life expectancy at birth, total (years)",71.37,years,2020,Europe & Central Asia
Kenya,"Life expectancy at birth, total (years)",66.991,years,2020,Sub-Saharan Africa 
Kyrgyz Republic,"Life expectancy at birth, total (years)",71.8,years,2020,Europe & Central Asia
Cambodia,"Life expectancy at birth, total (years)",70.054,years,2020,East Asia & Pacific
Kiribati,"Life expectancy at birth, total (years)",68.611,years,2020,East Asia & Pacific
St. Kitts and Nevis,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
"Korea, Rep.","Life expectancy at birth, total (years)",83.4268292682927,years,2020,East Asia & Pacific
Kuwait,"Life expectancy at birth, total (years)",75.586,years,2020,Middle East & North Africa
Lao PDR,"Life expectancy at birth, total (years)",68.219,years,2020,East Asia & Pacific
Lebanon,"Life expectancy at birth, total (years)",79.004,years,2020,Middle East & North Africa
Liberia,"Life expectancy at birth, total (years)",64.423,years,2020,Sub-Saharan Africa 
Libya,"Life expectancy at birth, total (years)",73.082,years,2020,Middle East & North Africa
St. Lucia,"Life expectancy at birth, total (years)",76.343,years,2020,Latin America & Caribbean 
Liechtenstein,"Life expectancy at birth, total (years)",81.8073170731707,years,2020,Europe & Central Asia
Sri Lanka,"Life expectancy at birth, total (years)",77.144,years,2020,South Asia
Lesotho,"Life expectancy at birth, total (years)",54.836,years,2020,Sub-Saharan Africa 
Lithuania,"Life expectancy at birth, total (years)",74.9292682926829,years,2020,Europe & Central Asia
Luxembourg,"Life expectancy at birth, total (years)",81.7414634146342,years,2020,Europe & Central Asia
Latvia,"Life expectancy at birth, total (years)",75.3878048780488,years,2020,Europe & Central Asia
St. Martin (French part),"Life expectancy at birth, total (years)",80.1219512195122,years,2020,Latin America & Caribbean 
Morocco,"Life expectancy at birth, total (years)",76.901,years,2020,Middle East & North Africa
Monaco,"Life expectancy at birth, total (years)",,years,2020,Europe & Central Asia
Moldova,"Life expectancy at birth, total (years)",72.006,years,2020,Europe & Central Asia
Madagascar,"Life expectancy at birth, total (years)",67.39,years,2020,Sub-Saharan Africa 
Maldives,"Life expectancy at birth, total (years)",79.208,years,2020,South Asia
Mexico,"Life expectancy at birth, total (years)",75.131,years,2020,Latin America & Caribbean 
Marshall Islands,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
North Macedonia,"Life expectancy at birth, total (years)",75.6931707317073,years,2020,Europe & Central Asia
Mali,"Life expectancy at birth, total (years)",59.692,years,2020,Sub-Saharan Africa 
Malta,"Life expectancy at birth, total (years)",82.6536585365854,years,2020,Middle East & North Africa
Myanmar,"Life expectancy at birth, total (years)",67.363,years,2020,East Asia & Pacific
