country,indicator,value,scale
Aruba,GDP (current US$),0.00249664804469274,trillion
Afghanistan,GDP (current US$),0.0201161373258206,trillion
Angola,GDP (current US$),0.053619071176139,trillion
Albania,GDP (current US$),0.015131866270593599,trillion
Andorra,GDP (current US$),0.0028910011493611,trillion
United Arab Emirates,GDP (current US$),0.358868765174924,trillion
Argentina,GDP (current US$),0.389591035520675,trillion
Armenia,GDP (current US$),0.012641209802111999,trillion
American Samoa,GDP (current US$),0.000709,trillion
Antigua and Barbuda,GDP (current US$),0.0013702814814814798,trillion
Australia,GDP (current US$),1.32783617106851,trillion
Austria,GDP (current US$),0.433258467676515,trillion
Azerbaijan,GDP (current US$),0.042693,trillion
Burundi,GDP (current US$),0.00278051062464184,trillion
Belgium,GDP (current US$),0.521676942134632,trillion
Benin,GDP (current US$),0.0156515453315404,trillion
Burkina Faso,GDP (current US$),0.017933606353177502,trillion
Bangladesh,GDP (current US$),0.37390213470040995,trillion
Bulgaria,GDP (current US$),0.0698893474334324,trillion
Bahrain,GDP (current US$),0.0347233574468085,trillion
"Bahamas, The",GDP (current US$),0.0096995,trillion
Bosnia and Herzegovina,GDP (current US$),0.0199551200046604,trillion
Belarus,GDP (current US$),0.0614895888948211,trillion
Belize,GDP (current US$),0.0015856316703461001,trillion
Bermuda,GDP (current US$),0.006881662,trillion
Bolivia,GDP (current US$),0.0366298438060781,trillion
Brazil,GDP (current US$),1.44856593673956,trillion
Barbados,GDP (current US$),0.0046895349617595596,trillion
Brunei Darussalam,GDP (current US$),0.0120058257695087,trillion
Bhutan,GDP (current US$),0.00231543630329988,trillion
Botswana,GDP (current US$),0.0149300727990084,trillion
Central African Republic,GDP (current US$),0.00232672092059223,trillion
Canada,GDP (current US$),1.64542340756836,trillion
Switzerland,GDP (current US$),0.75224804573011,trillion
Chile,GDP (current US$),0.252727193710018,trillion
China,GDP (current US$),14.687673892882,trillion
Cote d'Ivoire,GDP (current US$),0.0613485794651017,trillion
Cameroon,GDP (current US$),0.040804449726018405,trillion
"Congo, Dem. Rep.",GDP (current US$),0.0487169608600664,trillion
"Congo, Rep.",GDP (current US$),0.0104831510936873,trillion
Colombia,GDP (current US$),0.27029998288701,trillion
Comoros,GDP (current US$),0.00122387606452345,trillion
Cabo Verde,GDP (current US$),0.00170369867669742,trillion
Costa Rica,GDP (current US$),0.0621580022330279,trillion
Cuba,GDP (current US$),0.107352,trillion
Curacao,GDP (current US$),0.0024961747356470197,trillion
Cayman Islands,GDP (current US$),0.0056089891955292,trillion
Cyprus,GDP (current US$),0.024692095945174197,trillion
Czechia,GDP (current US$),0.245339322066759,trillion
Germany,GDP (current US$),3.84641392865371,trillion
Djibouti,GDP (current US$),0.0031810711536622,trillion
Dominica,GDP (current US$),0.000504214814814815,trillion
Denmark,GDP (current US$),0.35608486768563896,trillion
Dominican Republic,GDP (current US$),0.0788447023290785,trillion
Algeria,GDP (current US$),0.14500918149062,trillion
Ecuador,GDP (current US$),0.099291124,trillion
"Egypt, Arab Rep.",GDP (current US$),0.365252651278852,trillion
Eritrea,GDP (current US$),,trillion
Spain,GDP (current US$),1.28148464004358,trillion
Estonia,GDP (current US$),0.0306502854717215,trillion
Ethiopia,GDP (current US$),0.107657734392446,trillion
Finland,GDP (current US$),0.271836962949417,trillion
Fiji,GDP (current US$),0.004574413823312431,trillion
France,GDP (current US$),2.6303177314552597,trillion
Faroe Islands,GDP (current US$),0.00324075998899453,trillion
"Micronesia, Fed. Sts.",GDP (current US$),0.00040751592798229003,trillion
Gabon,GDP (current US$),0.0153168240393269,trillion
United Kingdom,GDP (current US$),2.75690021410732,trillion
Georgia,GDP (current US$),0.0158429225327202,trillion
Ghana,GDP (current US$),0.0700431998136885,trillion
Guinea,GDP (current US$),0.0141696260101229,trillion
"Gambia, The",GDP (current US$),0.00183041299995922,trillion
Guinea-Bissau,GDP (current US$),0.0014317582429037498,trillion
Equatorial Guinea,GDP (current US$),0.010099157269802499,trillion
Greece,GDP (current US$),0.18883520162591,trillion
Grenada,GDP (current US$),0.00104341111111111,trillion
Greenland,GDP (current US$),0.00307596832869677,trillion
Guatemala,GDP (current US$),0.07760463262064729,trillion
Guam,GDP (current US$),0.005844,trillion
Guyana,GDP (current US$),0.00547125659472422,trillion
Honduras,GDP (current US$),0.0238278408097014,trillion
Croatia,GDP (current US$),0.0572037832030259,trillion
Haiti,GDP (current US$),0.0145082180174032,trillion
Hungary,GDP (current US$),0.15674313466595902,trillion
Indonesia,GDP (current US$),1.05868893545478,trillion
Isle of Man,GDP (current US$),,trillion
India,GDP (current US$),2.66768795179656,trillion
Ireland,GDP (current US$),0.42588895099200297,trillion
"Iran, Islamic Rep.",GDP (current US$),0.23154757124046899,trillion
Iraq,GDP (current US$),0.184369797315436,trillion
Iceland,GDP (current US$),0.0217180757252054,trillion
Italy,GDP (current US$),1.89257406422211,trillion
Jamaica,GDP (current US$),0.013812425036586399,trillion
Jordan,GDP (current US$),0.043697659295774696,trillion
Japan,GDP (current US$),5.040107754084111,trillion
Kazakhstan,GDP (current US$),0.171082379532988,trillion
Kenya,GDP (current US$),0.10066654266572,trillion
Kyrgyz Republic,GDP (current US$),0.00778087453666054,trillion
Cambodia,GDP (current US$),0.0258727980121938,trillion
Kiribati,GDP (current US$),0.000180911843644622,trillion
St. Kitts and Nevis,GDP (current US$),0.000980905888888889,trillion
"Korea, Rep.",GDP (current US$),1.6378958027928998,trillion
Kuwait,GDP (current US$),0.105960225688145,trillion
Lao PDR,GDP (current US$),0.018981800705079398,trillion
Lebanon,GDP (current US$),0.0259489158611985,trillion
Liberia,GDP (current US$),0.00303998254,trillion
Libya,GDP (current US$),0.0523202154720934,trillion
