country,indicator,value,scale,year,region
Kenya,"Population, total",53.7713,million,2020,Sub-Saharan Africa 
Kyrgyz Republic,"Population, total",6.5799,million,2020,Europe & Central Asia
Cambodia,"Population, total",16.718971,million,2020,East Asia & Pacific
Kiribati,"Population, total",0.119446,million,2020,East Asia & Pacific
St. Kitts and Nevis,"Population, total",0.053192,million,2020,Latin America & Caribbean 
"Korea, Rep.","Population, total",51.836239,million,2020,East Asia & Pacific
Kuwait,"Population, total",4.270563,million,2020,Middle East & North Africa
Lao PDR,"Population, total",7.275556,million,2020,East Asia & Pacific
Lebanon,"Population, total",6.825442,million,2020,Middle East & North Africa
Liberia,"Population, total",5.057677,million,2020,Sub-Saharan Africa 
Libya,"Population, total",6.871287,million,2020,Middle East & North Africa
St. Lucia,"Population, total",0.183629,million,2020,Latin America & Caribbean 
Liechtenstein,"Population, total",0.038137,million,2020,Europe & Central Asia
Sri Lanka,"Population, total",21.919,million,2020,South Asia
Lesotho,"Population, total",2.142252,million,2020,Sub-Saharan Africa 
Lithuania,"Population, total",2.794885,million,2020,Europe & Central Asia
Luxembourg,"Population, total",0.630419,million,2020,Europe & Central Asia
Latvia,"Population, total",1.900449,million,2020,Europe & Central Asia
St. Martin (French part),"Population, total",0.038659,million,2020,Latin America & Caribbean 
Morocco,"Population, total",36.910558,million,2020,Middle East & North Africa
Monaco,"Population, total",0.039244,million,2020,Europe & Central Asia
Moldova,"Population, total",2.620495,million,2020,Europe & Central Asia
Madagascar,"Population, total",27.691019,million,2020,Sub-Saharan Africa 
Maldives,"Population, total",0.540542,million,2020,South Asia
Mexico,"Population, total",128.932753,million,2020,Latin America & Caribbean 
Marshall Islands,"Population, total",0.059194,million,2020,East Asia & Pacific
North Macedonia,"Population, total",2.072531,million,2020,Europe & Central Asia
Mali,"Population, total",20.250834,million,2020,Sub-Saharan Africa 
Malta,"Population, total",0.515332,million,2020,Middle East & North Africa
Myanmar,"Population, total",54.409794,million,2020,East Asia & Pacific
Montenegro,"Population, total",0.621306,million,2020,Europe & Central Asia
Mongolia,"Population, total",3.278292,million,2020,East Asia & Pacific
Northern Mariana Islands,"Population, total",0.057557,million,2020,East Asia & Pacific
Mozambique,"Population, total",31.255435,million,2020,Sub-Saharan Africa 
Mauritania,"Population, total",4.64966,million,2020,Sub-Saharan Africa 
Mauritius,"Population, total",1.26574,million,2020,Sub-Saharan Africa 
Malawi,"Population, total",19.129955,million,2020,Sub-Saharan Africa 
Malaysia,"Population, total",32.365998,million,2020,East Asia & Pacific
Namibia,"Population, total",2.540916,million,2020,Sub-Saharan Africa 
New Caledonia,"Population, total",0.27196,million,2020,East Asia & Pacific
Niger,"Population, total",24.206636,million,2020,Sub-Saharan Africa 
Nigeria,"Population, total",206.139587,million,2020,Sub-Saharan Africa 
Nicaragua,"Population, total",6.624554,million,2020,Latin America & Caribbean 
Netherlands,"Population, total",17.4415,million,2020,Europe & Central Asia
Norway,"Population, total",5.379475,million,2020,Europe & Central Asia
Nepal,"Population, total",29.136808,million,2020,South Asia
Nauru,"Population, total",0.010834,million,2020,East Asia & Pacific
New Zealand,"Population, total",5.0902,million,2020,East Asia & Pacific
Oman,"Population, total",5.106622,million,2020,Middle East & North Africa
Pakistan,"Population, total",220.892331,million,2020,South Asia
Panama,"Population, total",4.314768,million,2020,Latin America & Caribbean 
Peru,"Population, total",32.971846,million,2020,Latin America & Caribbean 
Philippines,"Population, total",109.581085,million,2020,East Asia & Pacific
Palau,"Population, total",0.018092,million,2020,East Asia & Pacific
Papua New Guinea,"Population, total",8.947027,million,2020,East Asia & Pacific
Poland,"Population, total",37.89907,million,2020,Europe & Central Asia
Puerto Rico,"Population, total",3.281538,million,2020,Latin America & Caribbean 
"Korea, Dem. People's Rep.","Population, total",25.778815,million,2020,East Asia & Pacific
Portugal,"Population, total",10.297081,million,2020,Europe & Central Asia
Paraguay,"Population, total",7.13253,million,2020,Latin America & Caribbean 
French Polynesia,"Population, total",0.280904,million,2020,East Asia & Pacific
Qatar,"Population, total",2.88106,million,2020,Middle East & North Africa
Romania,"Population, total",19.25752,million,2020,Europe & Central Asia
Russian Federation,"Population, total",144.073139,million,2020,Europe & Central Asia
Rwanda,"Population, total",12.952209,million,2020,Sub-Saharan Africa 
Saudi Arabia,"Population, total",34.813867,million,2020,Middle East & North Africa
Sudan,"Population, total",43.849269,million,2020,Sub-Saharan Africa 
Senegal,"Population, total",16.74393,million,2020,Sub-Saharan Africa 
Singapore,"Population, total",5.685807,million,2020,East Asia & Pacific
Solomon Islands,"Population, total",0.686878,million,2020,East Asia & Pacific
Sierra Leone,"Population, total",7.976985,million,2020,Sub-Saharan Africa 
El Salvador,"Population, total",6.486201,million,2020,Latin America & Caribbean 
San Marino,"Population, total",0.033938,million,2020,Europe & Central Asia
Somalia,"Population, total",15.893219,million,2020,Sub-Saharan Africa 
Serbia,"Population, total",6.899126,million,2020,Europe & Central Asia
South Sudan,"Population, total",11.193729,million,2020,Sub-Saharan Africa 
Sao Tome and Principe,"Population, total",0.219161,million,2020,Sub-Saharan Africa 
Suriname,"Population, total",0.586634,million,2020,Latin America & Caribbean 
Slovak Republic,"Population, total",5.458827,million,2020,Europe & Central Asia
Slovenia,"Population, total",2.102419,million,2020,Europe & Central Asia
Sweden,"Population, total",10.353442,million,2020,Europe & Central Asia
Eswatini,"Population, total",1.160164,million,2020,Sub-Saharan Africa 
Sint Maarten (Dutch part),"Population, total",0.04231,million,2020,Latin America & Caribbean 
Seychelles,"Population, total",0.098462,million,2020,Sub-Saharan Africa 
Syrian Arab Republic,"Population, total",17.500657,million,2020,Middle East & North Africa
Turks and Caicos Islands,"Population, total",0.038718,million,2020,Latin America & Caribbean 
Chad,"Population, total",16.425859,million,2020,Sub-Saharan Africa 
Togo,"Population, total",8.278737,million,2020,Sub-Saharan Africa 
Thailand,"Population, total",69.799978,million,2020,East Asia & Pacific
Tajikistan,"Population, total",9.537642,million,2020,Europe & Central Asia
Turkmenistan,"Population, total",6.031187,million,2020,Europe & Central Asia
Timor-Leste,"Population, total",1.318442,million,2020,East Asia & Pacific
Tonga,"Population, total",0.105697,million,2020,East Asia & Pacific
Trinidad and Tobago,"Population, total",1.399491,million,2020,Latin America & Caribbean 
Tunisia,"Population, total",11.818618,million,2020,Middle East & North Africa
Turkiye,"Population, total",84.339067,million,2020,Europe & Central Asia
Tuvalu,"Population, total",0.011792,million,2020,East Asia & Pacific
Tanzania,"Population, total",59.734213,million,2020,Sub-Saharan Africa 
Uganda,"Population, total",45.741,million,2020,Sub-Saharan Africa 
Ukraine,"Population, total",44.132049,million,2020,Europe & Central Asia
Uruguay,"Population, total",3.473727,million,2020,Latin America & Caribbean 
United States,"Population, total",331.50108,million,2020,North America
Uzbekistan,"Population, total",34.23205,million,2020,Europe & Central Asia
